,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
94,flight,left,RMM T,0.023365028699239097,0.015166608492533366,136539260068.0,55710658200.0,9.676893994474336,682.45
95,flight,left,Linear Regression,0.49244478543599446,0.6452511151631674,1822061746.0,1913496737.0,9.676893994474336,682.45
96,flight,outer,Left multiply,0.0005063374837239583,0.00031902790069580076,1287722.0,98469.0,10.657911595131326,682.45
97,flight,outer,Row summation,0.001864473025004069,0.0019434769948323569,1287722.0,98469.0,10.657911595131326,682.45
98,flight,outer,Column summation,0.004157582918802897,0.0027746756871541343,1287722.0,98469.0,10.657911595131326,682.45
99,flight,outer,Materialization,,0.026373648643493654,,,,
100,flight,outer,LMM,0.005207729339599609,0.013403542836507161,9109323340.0,9950923170.0,10.657911595131326,682.45
101,flight,outer,RMM,0.0012929280598958333,0.012908689181009929,19470287628.0,3214388371.0,10.657911595131326,682.45
102,flight,outer,Left multiply T,0.0005863587061564128,0.0003826141357421875,1287722.0,98469.0,10.657911595131326,682.45
103,flight,outer,Row summation T,0.004161453247070313,0.002812830607096354,1287722.0,98469.0,10.657911595131326,682.45
104,flight,outer,Column summation T,0.0018866539001464843,0.0028044859568277995,1287722.0,98469.0,10.657911595131326,682.45
105,flight,outer,LMM T,0.001532753308614095,0.011393078168233236,9109323340.0,9097430810.0,10.657911595131326,682.45
106,flight,outer,RMM T,0.014527630805969239,0.014412204424540201,129981686696.0,54994535172.0,10.657911595131326,682.45
107,flight,outer,Linear Regression,0.4632609685262044,0.6195935646692912,1821864668.0,1904835398.0,10.657911595131326,682.45
108,lastfm,inner,Left multiply,0.003671065966288249,0.00026197433471679686,4468711.0,289992.0,0.09998,10.008567443713888
109,lastfm,inner,Row summation,0.00763243834177653,0.0026505708694458006,4468711.0,289992.0,0.09998,10.008567443713888
110,lastfm,inner,Column summation,0.014144500096638998,0.005262215932210286,4468711.0,289992.0,0.09998,10.008567443713888
111,lastfm,inner,Materialization,,0.07377116680145264,,,,
112,lastfm,inner,LMM,0.021242229143778484,0.014545742670694988,189971779550.0,30390947400.0,0.09998,10.008567443713888
113,lastfm,inner,RMM,0.004817954699198405,0.029259506861368814,277433055212.0,46550473024.0,0.09998,10.008567443713888
114,lastfm,inner,Left multiply T,0.00367588996887207,0.00031052430470784507,4468711.0,289992.0,0.09998,10.008567443713888
115,lastfm,inner,Row summation T,0.014824398358662923,0.005457496643066407,4468711.0,289992.0,0.09998,10.008567443713888
116,lastfm,inner,Column summation T,0.008802064259847005,0.00539249579111735,4468711.0,289992.0,0.09998,10.008567443713888
117,lastfm,inner,LMM T,0.005889201164245605,0.022877701123555503,189971779550.0,189929992360.0,0.09998,10.008567443713888
118,lastfm,inner,RMM T,0.05858731269836426,0.01635409196217855,2717726000207.0,288741292554.0,0.09998,10.008567443713888
119,lastfm,inner,Linear Regression,1.7123048464457193,1.2257324695587157,37994355910.0,22032093976.0,0.09998,10.008567443713888
